,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
2838,2868,F0FtLxxnRRs,mark88z,606.0,Sports,1042.0,14351,4.5,24,22,20,1.5329942164309107,0.15368151815181516
1028,1046,cvhy03NLR6I,GoldenTotProductions,983.0,Entertainment,57.0,1352,4.32,25,44,0,32.544378698224854,0.15337538148524926
42,42,1cWWE3A2mDI,davoodnpussy,1135.0,News & Politics,89.0,3947,1.46,69,49,14,12.41449201925513,0.15321753303964758
2631,2661,cIBVvPihYvQ,powerballsvideos,1059.0,Sports,86.0,162,0.0,0,0,0,0.0,0.1529745042492918
3626,3660,dLKOFEe8uO0,rebuildhk,1018.0,People & Blogs,255.0,3860,3.27,41,15,0,3.8860103626943006,0.15286174852652257
2117,2146,ctaqi25wFts,POCKY2001,913.0,Music,220.0,9257,4.86,28,6,20,0.6481581505887436,0.15221910186199344
1095,1113,5ugrDYxWJDo,Diruncat,933.0,News & Politics,116.0,2695,4.76,25,30,20,11.131725417439704,0.15188853161843513
131,133,F76IkRohiow,2008freetibet,1131.0,News & Politics,131.0,1853,3.53,36,23,20,12.4123043712898,0.15171837312113176
1159,1177,5R5oh8AIguE,CaiganMythFang,783.0,Entertainment,574.0,7393,5.0,23,27,20,3.6521033409982415,0.15144189016602808
3275,3305,vjeItnYN1RY,aestokesrees,1110.0,Sports,314.0,168,0.0,0,0,0,0.0,0.15135135135135136
2192,2221,0UUmOOHtKrk,expertvillage,1101.0,Howto & Style,88.0,18491,3.16,32,33,20,1.784651992861392,0.15091473206176204
3071,3101,FudtHlx3ypE,lovinglife31,993.0,People & Blogs,402.0,3704,4.86,28,11,20,2.9697624190064795,0.150810110775428
3701,3735,xQuD44UdEGE,reneewoerdman,962.0,Pets & Animals,19.0,145,0.0,0,0,20,0.0,0.15072765072765074
2063,2092,QBE2RO5vj2Y,comingawakening,1114.0,News & Politics,574.0,2924,4.38,13,91,20,31.12175102599179,0.15056477558348294
2673,2703,xBFSKUVpCt8,marcioheleno,756.0,Autos & Vehicles,277.0,49365,3.31,16,32,20,0.6482325534285425,0.15025761904761906
649,663,hH4HEA7dsLY,libra888,1132.0,Comedy,55.0,5895,1.51,55,62,20,10.517387616624259,0.15025759717314485
3120,3150,RrX_PwHVC_8,JoeBurke,694.0,Entertainment,1359.0,5589,3.65,31,29,20,5.188763642869923,0.15020331412103746
730,746,6lAy60wrjuY,mspersons,782.0,Entertainment,44.0,6292,3.18,28,53,20,8.423394787031151,0.1500860358056266
3377,3409,Upjmsu_Q97c,fallaausiasmarch,1129.0,Entertainment,550.0,169,0.0,0,0,20,0.0,0.14968999114260406
2106,2135,xmJoRnBE1OM,sharonafox1,930.0,Entertainment,579.0,5174,4.77,26,20,0,3.865481252415926,0.14958344086021502
1867,1896,mMLd6WzevT4,Dirkstud41,858.0,Sports,67.0,23116,4.38,13,64,20,2.7686450943069736,0.14788172494172494
2591,2621,An0myD3I5rY,KarmaRescue,803.0,Pets & Animals,300.0,12644,4.3,27,16,20,1.2654223347042075,0.14784595267745954
1386,1412,4q45Oo5d-H4,KingYayo,1134.0,News & Politics,153.0,3331,2.77,40,34,20,10.20714500150105,0.1477373897707231
2326,2355,U8cmRdpcePc,secretcityrecords,1121.0,Music,193.0,5282,4.77,26,19,5,3.5971223021582737,0.14773186440677963
204,210,CFCMSW_SsPY,ChristerD93,863.0,Music,214.0,6438,4.44,27,20,20,3.1065548306927617,0.14734002317497102
3199,3229,Qs-oGviaryA,Hentai12Lover12,916.0,Film & Animation,481.0,24940,4.79,24,5,20,0.20048115477145148,0.14718707423580787
